,Messages,Time Stamp,Spam
102,"Analyst Price target: 1467.65, Buy every dip, Analyst Recommendation : BUY",04-02-2022 9.20,
103,"Cyber Security Market is Expected to Reach $478.68 Billion by 2030: Says AMR The key market players analyzed in the global cyber security market report include HCL Technologies Limited, Broadcom Inc., Capgemini, Cognizant, F5 Networks Inc.,...&nbsp",04-02-2022 9.18,
104,"Digital Transformation Market Value to Reach $2,026.45 billion by 2028: Stratistics MRC Some of the key players profiled in the Digital Transformation Market include IBM, Microsoft, SAP, HPE, Accenture, Google, Oracle, Adobe, Cognizant, HCL...&nbsp",04-02-2022 9.17,
105,5G System Integration Market to Witness Huge Growth by 2029 | HCL Tech,04-02-2022 9.14,
106,"Arc Technologies and Institutions students hired by Google, HCL, other top IT firms",04-02-2022 9.13,
107,Rising Net Cash Flow and Cash from Operating activity Company with Low Debt Increasing Revenue every Quarter for the past 4 Quarters Increasing profits every quarter for the past 3 quarters Strong cash generating ability from core business ...&nbsp,04-02-2022 9.11,
108,"HCL Tech Target for Today 1180 - 1200 Dont worry about Meta/Facebook, No link between FB and HCL, Just BUY BUY.. More profits.. Good Day..",04-02-2022 9.10,
109,Wipro and infy Adr are also down in Nasdaq by 2% each.,03-02-2022 16.09,
110,Face book is down 38% in pre opening session in USA. Seems IT will be badly hit tomorrow.,03-02-2022 16.06,
111,crucial support for hcl tech at 1162 is broken and it reversed its path and heading towards recent low of 1170-1150. Even cues are supporting this fact earnings doesnt support high PE traded by the INDIAN & AMERICAN IT MAJORS.,03-02-2022 15.16,
112,Hcl tech can show 1200-1250-1280 with in 15 days guys.,03-02-2022 14.07,
113,Positive movement expected due to high delivery percentage accumulate for more info v.gd/GjmAyK,03-02-2022 14.05,
114,Those who are making long in hcl tech will surprise to see tomorrow they would be booking huge loss due to nasdaq is more 2% lower today ( majorly face book is reported poor results and growth concerns in future currently 22% down). hence b...&nbsp,03-02-2022 13.25,
115,A lot of bearish sentiment in it sector due to face book earing and growth all constituents are trading in red and in short term again a huge falls expected in IN INDIAN BASKET BECAUSE OF FACE BOOK related earning NASDAQ IS DOWN 2.3% OR 330...&nbsp,03-02-2022 12.50,
116,Sell HCL Tech with target of 1155 & Stop loss at 1177...visit goyaltips,03-02-2022 11.30,
117,Those who are making long in hcl tech will surprise to see tomorrow they would be booking huge loss due to nasdaq is more 2% lower today ( majorly face book is reported poor results and growth concerns in future currently 22% down). hence b...&nbsp,03-02-2022 12.17,
118,BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST ......... bnfs.at/891c,03-02-2022 11.29,
119,Most accurate Buy Sell Chart System is www IntradayAFL com Watch free charts and no false claim. Check yourself.,02-02-2022 21.52,
120,"Believe only on technical charts, not to call providers blindly. Install buy sell chart system from www IntradayAFL com",02-02-2022 21.52,
121,"Believe only on technical charts, not to call providers blindly. Install buy sell chart system from www IntradayAFL com",02-02-2022 21.52,
122,As per experts HCL tech will be replaced by wipro on no. 3rd position after TCS and Infosys by the end of this year. This stock may not give much return,02-02-2022 20.48,
123,Well performed stock this is it will.show more actions again..4 more updates and Live tipxz wtzppp on 844549: 2O56,02-02-2022 19.07,
124,buy hcl tech. at cmp 1170.40.... good return will come... easily reach..1200,02-02-2022 18.26,
125,"The recent stock observation, coupled with the fact that it has hit the crucial levels, suggests that it can witness a brief consolidation.",02-02-2022 17.41,
126,IndusInd bank 956 and target will be 1000/1060/1100 ForAny HelpOrTips wtzzp.. 73OO7: 311 44,02-02-2022 17.28,
127,Momentum in this script with good moving average keep in watch list for more info v.gd/GjmAyK,02-02-2022 15.39,
128,Huge accumulation and buying is seen in HCL Tech as it has been hammered from Rs.1377 and as promotors recently bought HCL Tech at Rs.1288 per share investors are buying this dip in HCL Tech as it will bounce back to Rs.1377 soon and then h...&nbsp,02-02-2022 15.25,
129,Buy HCL Tech with target of 1181 & Stop loss at 1160...visit goyaltips,02-02-2022 13.55,
130,Currently trading at lower price due to industry dynamics. But the stock has a long term upside potential for more info v.gd/GjmAyK,02-02-2022 13.42,
131,buy for a week target of 1225/1250 in a week........,02-02-2022 13.05,
132,"buy on every dip, today target above 1200 ...buy & hold..",02-02-2022 12.59,
133,Promotors had bought HCL Tech shares at Rs.1288 a piece recently and even after fantastic Q3 results HCL Tech corrected due to the Fed decision to raise interest rates and HCL Tech was hammered. Buy HCL Tech as it will bounce back to Rs.137...&nbsp,02-02-2022 12.41,
134,"Buy HCL tech, Wipro and Infosys for both short term as well as long term gains.",02-02-2022 12.37,
135,Currently trading at lower price due to industry dynamics. But the stock has a long term upside potential for more info v.gd/GjmAyK,02-02-2022 12.36,
136,This stock is expected to stay on the upward trajectory from a short to medium-term perspective for more info v.gd/GjmAyK,02-02-2022 12.33,
137,Buy HCL Tech if it crosses 1170 next resistance is around 1240 levels. It should reach 1240 soon.,02-02-2022 12.22,
138,Hcl tech abv 1165 we can see 1200-1250-1280 with in few days just wait and watch.,02-02-2022 11.49,
139,Buy and Hold Hcl tech with tg price of 1200-1250-1280 in it,02-02-2022 9.45,
140,Buy HCL Tech as it is in over sold territories and is at very attactive valuations and is heading to Rs.1377 from where it corrected due to panic selling in the market. The target of Rs.1700 holds for HCL Tech.,02-02-2022 9.42,
141,Quarterly result will start soon to get the latest updates more info v.gd/GjmAyK,02-02-2022 9.39,
142,Will see more upward moments so just wait and watch.,02-02-2022 7.16,
143,"Strong levels, Good Result, Consolidated in last week,",02-02-2022 7.06,
144,HCL TECH SHORT COVERING GOOD FUNDAMENTAL KEEP ACCUMULATE AT EVERY DIP FOR LONG TURM,01-02-2022 22.51,
145,"Tech index down, 100 points. All Adr are down. Seems mot good day of IT, tomorrow.",01-02-2022 21.22,
146,Invest in the stocks of an industry you ve researched thoroughly and be ready to see your investment go low before touching new highs.,01-02-2022 20.13,
147,"BUY HCLTECH AT CMP 1132 TGT 1145/1168 SL 1122, TOMMOROW TELEGRAM-JUSTIRAD",01-02-2022 18.19,
