,Messages,Time Stamp,Spam
72,"Wilmar ka Akki (Akshay Kumar) shining. Isa kya jadu kardiya ye naye listing. Filmy andaaz me ITC seems like serious film by Sham Benagal which dont get do well in Box office, but Akshay ka Comedi move becomes super hit.",09-02-2022 12.49,
73,"The group one who have shorted in morning will see to it that it will reach their target of 3-4 Rs and then only it will reverse up, whatever the move of index. Totally controlled by few more privileged. The fundamentals dont work here. Hen...&nbsp",09-02-2022 11.07,
74,"It seems thus dead stock inspite all plus points still no buyers , only chances are to replace directors and Management",09-02-2022 11.06,
75,See Adani Wilmer.better switch to Adani from ITC at least partially,09-02-2022 11.00,
76,Sell ITC at cmp.. Target 215 and below in 3 or 4 working days,09-02-2022 10.56,
77,Hi there is no trader group supporting ITC to move up. So all are merrily shorting. This will be always kept under pressure so that shorter groups will earn multicrores in every month along with their god father management. Its a big scam h...&nbsp,09-02-2022 10.42,
78,"Everything positive about the company. Results, No additional tx in budget, Growth. This time pulling down ITC may not successful. Hope it will cross 250...Slow",09-02-2022 10.15,
79,I HOPE THAT YOU FORGOT TO COUNTING ABOUT ITC. THIS IS THE WORST STOCK. SO DONT BUY.,09-02-2022 10.33,
80,ITC - Probability of your returns go up if you buy more value by paying what it is worth.....,09-02-2022 9.53,
81,ETFs are an increasingly popular product for traders and investors that capture broad indices or sectors in a single security.,09-02-2022 9.46,
82,"Dollar-cost averaging refers to the practice of systematically investing equal amounts, spaced out over regular intervals, regardless of price.",09-02-2022 9.46,
83,Swing trades are trades that seek to take advantage of sizeable swings in stocks or other instruments like currencies or commodities.,08-02-2022 20.36,
84,will ITC future come down to 221/222?,08-02-2022 19.33,
85,I personally feel that whatever is cash price closing before ex.dividend date will open Rs 5.50 lower next day ie 14th Feb and after that cash and future price will start normal premium or discount difference. so on Friday closing itc may b...&nbsp,08-02-2022 18.42,
86,Dividend is not for Options or Future.. Since Future price is less by 5rs.. it indicates ITC price gonna fall further more..,08-02-2022 18.27,
87,"fut already discounted by Rs 5, so not much change will see in call premiums once spot adjusts by 5.5",08-02-2022 16.50,
88,"Ex dividend effects only cash price, there is no effect on Future and options.",08-02-2022 16.27,
89,Correction on yet over!! Long term investors can add on SIP!! Market will give opportunity to buy around 205 and 197 level..,08-02-2022 16.12,
90,ITC February Futures price is at a discount of Rs 5 consistently .So after ex dividend date on Monday 14th Feb if cash price goes down by 5 Rs then future price will remain same as cash or will go lower by another Rs 5 ....if this happens c...&nbsp,08-02-2022 16.11,
91,Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cost Crude oil Beneficiaries like ongc gail and bpcl will fire. Want to know more beneficiary cos........... bnfs.at/891c,08-02-2022 15.23,
92,Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available............ bnfs.at/891c,08-02-2022 15.23,
93,"So much of manipulation in tis counter, whatever the index upmovement, it is not allowed to move above 230. With such dirty mindset of shorters, this scrip is not going any where. Its shame to be with this scrip due to these traders. May be...&nbsp",08-02-2022 13.40,
94,Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,08-02-2022 13.28,
95,Stock Market latest news for more info v.gd/GjmAyK,08-02-2022 13.22,
96,short itc bindass sold at 235 waiting for 200 lic ipo before 15th March  this will come down So its ur choice do what u want,08-02-2022 13.15,
97,Short itc here it will not go beyond 245 even not cross 243 but sl at Paisa short it target 200 Rs  in Feb series as well as till March 15,08-02-2022 13.13,
98,lic IPO overhang market drag itc most reason lic reduce its stake in itc below 15% So ready next leg of downside here towards 200 best price of itc soon nacho,08-02-2022 13.10,
99,"Good decision. Congratulations, you are lucky being out of negative traders here. These shorter trading people will never improve in their life like its MD.",08-02-2022 13.07,
100,ITC mgmt insprice. So much cash flows but no buyback or demerger. ITC mgmt lack vision and guts to take bold decisions. Easiest route give dividend which heavilyensitive to shr taxed by govt. Need to bring in mew Bd if directors and new Cma...&nbsp,08-02-2022 12.58,
101,"I shifted to Adani Wilmar, finally sold my holding after such a long period.",08-02-2022 12.46,
102,"if today, once it cross 233.5 then today closing price target is 238-240 stay invested",08-02-2022 12.29,
103,ITC is showing positive mood now a days.. No tax in budget,08-02-2022 9.53,
104,Call writers so active now to belittle ITC even after so many fund-houses gave a 290 plus targets. How long this continues to be seen. Some point of time they have to cover the shorts.,08-02-2022 9.48,
105,Growth oriented stocks will be accumulated heavily by fiis and diis. Full list available bnfs.at/891c,08-02-2022 9.46,
106,BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,08-02-2022 9.45,
107,"earnnnn gud money sitting back home in share market ask me how on 9:5:6:8:9:1:4:039""""""""",08-02-2022 8.25,
108,Unlike Other sectors IT sector is impacted by many factors Can Market correction impact Infy badly? To get all answers v.gd/GjmAyK,08-02-2022 7.32,
109,on every keeping adding ITC to your holdings... Return can be yield within 4 to 6 months time frame,08-02-2022 0.48,
110,"The budget 2022 was a major mood-lifter for the markets the previous week as its large capex push to revive the economy cheered investors. However, the high spirits on the budget were short-lived as the global concerns have began weighing o...&nbsp",07-02-2022 23.53,
111,if tomorrow market positive then Itc will be tested 240- 245 levels for sure,07-02-2022 22.03,
112,positive results impact not seen due to weak market,07-02-2022 22.02,
113,Keep wait for the new tax policy to come. Dont lure to the overrating of different agencies. It will keep falling since the announcement of upcoming tax policy.,07-02-2022 16.17,
114,illogical market.....illogical govt...everything ilogical....,07-02-2022 15.30,
115,"if index options are your cup of tea, for profits remember ..bnfs.at/89Ic",07-02-2022 15.09,
116,healthy correction in ITC today....its headed for 240 in futures and 245 in cash this week probably,07-02-2022 15.08,
117,I had purchased 11000 share in 2020 end what Is future of company,07-02-2022 14.46,
118,if itc will earn profit of 10k crore still it will be here only because he is putting all profit in fmcg and ROCE on FMCG is very less. it needs to demerge it,07-02-2022 14.24,
119,"Excellent thunder results. net profit for the quarter rs 4127 crore.... estimated eps for this fy approx rs 14/- ...target rs 350/-... trading at very low PE..,well done excellent............",07-02-2022 14.18,
120,"Sharp upward trend will be seen in itc..well professionally managed, good corporate governance, good quality products, good brand leaders . target rs 350 to 500/- in coming seasons.............",07-02-2022 14.18,
121,"Target rs 350/-... excellent performance.. itc q3 earnings: revenue up 30 percent to rs 18,366 crore..net profit rs 4156 crore for q3.........",07-02-2022 14.17,
122,JM Financial has set a target price at Rs 295/-... Strongly BUY recommended,07-02-2022 14.15,
123,"Dow future has turned positive and crossed 35000, today we may not see further down from this point, No point in selling now I believe. It might move up, once index crosses 17350 level succesfully, which I think is shortly happen from now o...&nbsp",07-02-2022 12.54,
124,Yahi problem hai ki bina Kisi reason ke Ye stock niche chalajata hai chote investment ka paisa block ho jata hai or Ye company internal bade invest karne walo ko Chori Se inform kar deti hai ye bahut bada scam hai jo Sebi kI ankh ke niche h...&nbsp,07-02-2022 12.52,
125,bade bade target daal k mere pise duba diye tm log.,07-02-2022 12.51,
126,"itc is not money printing machine but money savings machine... always buy it hold it sip it for more than double bank fd returns with long term view of 5 to 10 years through dividend,bonus,appreciation itc is one of only index stock in Indi...&nbsp",07-02-2022 12.50,
127,This is impact of good result. Enjoy long term investment.  .,07-02-2022 12.40,
128,"Aaj Koi Ka Promotion Karne Aya Na . 260 300 Ka Target Dene ITC Mai , Salo SEBI pe Complent Dalunga Tumhari .",07-02-2022 12.39,
129,ITC ne market se viswas utha diya. Strong fundamental and results not worked means equity run by operators clearly.,07-02-2022 12.39,
130,hey guys look at ITC now it is below 230 i think now its heading towards its downward circuit enjoy the short sell i learnt in this script that at 235 do short sell and at 215 buy nothing to earn in this counter by staying long term in this...&nbsp,07-02-2022 12.27,
131,Most hopeless scrip I have ever seen in my life. all managing people are .............s-b.,07-02-2022 12.23,
132,oh god what a pathetic situation all fundamentals are strong super duper bumper q3 results and still we retail investor are losing in this counter whereas all other investors who have not invested in ITC are earnings Mr. Puri are creating w...&nbsp,07-02-2022 12.18,
133,People saying cash rich fundamentally strong and its trading at this price for past 5 years even after 20 years it wil trade at 300 level,07-02-2022 11.39,
134,Yes it is fundamentally strong company..... they are doing new acquisations.... their testing the market....,07-02-2022 11.31,
135,Looking weak from here with low delivery volume high chances of short sell possible here for more info v.gd/GjmAyK,07-02-2022 11.24,
136,this is the right time for oldest index stock itc to cross its 52 week high when markets are weak now and lead from front like captain and fill all gaps for dull range bound movement in last 2 years when indian markets have achieved new hig...&nbsp,07-02-2022 11.23,
